country,year,emissions
Turkmenistan,1850,0.0
Turkmenistan,1851,0.0
Turkmenistan,1852,0.0
Turkmenistan,1853,0.0
Turkmenistan,1854,0.0
Turkmenistan,1855,0.0
Turkmenistan,1856,0.0
Turkmenistan,1857,0.0
Turkmenistan,1858,0.01
Turkmenistan,1859,0.01
Turkmenistan,1860,0.01
Turkmenistan,1861,0.01
Turkmenistan,1862,0.01
Turkmenistan,1863,0.01
Turkmenistan,1864,0.01
Turkmenistan,1865,0.01
Turkmenistan,1866,0.03
Turkmenistan,1867,0.03
Turkmenistan,1868,0.03
Turkmenistan,1869,0.04
Turkmenistan,1870,0.04
Turkmenistan,1871,0.06
Turkmenistan,1872,0.06
Turkmenistan,1873,0.05
Turkmenistan,1874,0.07
Turkmenistan,1875,0.08
Turkmenistan,1876,0.09
Turkmenistan,1877,0.1
Turkmenistan,1878,0.13
Turkmenistan,1879,0.13
Turkmenistan,1880,0.15
Turkmenistan,1881,0.16
Turkmenistan,1882,0.17
Turkmenistan,1883,0.19
Turkmenistan,1884,0.19
Turkmenistan,1885,0.21
Turkmenistan,1886,0.22
Turkmenistan,1887,0.23
Turkmenistan,1888,0.24
Turkmenistan,1889,0.26
Turkmenistan,1890,0.29
Turkmenistan,1891,0.32
Turkmenistan,1892,0.34
Turkmenistan,1893,0.4
Turkmenistan,1894,0.41
Turkmenistan,1895,0.47
Turkmenistan,1896,0.48
Turkmenistan,1897,0.55
Turkmenistan,1898,0.62
Turkmenistan,1899,0.72
Turkmenistan,1900,0.81
Turkmenistan,1901,0.83
Turkmenistan,1902,0.8
Turkmenistan,1903,0.79
Turkmenistan,1904,0.87
Turkmenistan,1905,0.78
Turkmenistan,1906,0.89
Turkmenistan,1907,1.0
Turkmenistan,1908,1.0
Turkmenistan,1909,1.06
Turkmenistan,1910,1.04
Turkmenistan,1911,1.08
Turkmenistan,1912,1.22
Turkmenistan,1913,1.32
Turkmenistan,1914,1.2
Turkmenistan,1915,1.1
Turkmenistan,1916,1.17
Turkmenistan,1917,1.08
Turkmenistan,1918,0.43
Turkmenistan,1919,0.37
Turkmenistan,1920,0.33
Turkmenistan,1921,0.36
Turkmenistan,1922,0.44
Turkmenistan,1923,0.49
Turkmenistan,1924,0.58
Turkmenistan,1925,0.57
Turkmenistan,1926,0.83
Turkmenistan,1927,1.03
Turkmenistan,1928,1.15
Turkmenistan,1929,1.24
Turkmenistan,1930,1.68
Turkmenistan,1931,2.02
Turkmenistan,1932,2.28
Turkmenistan,1933,2.55
Turkmenistan,1934,3.08
Turkmenistan,1935,3.49
Turkmenistan,1936,4.0
Turkmenistan,1937,4.09
Turkmenistan,1938,4.31
Turkmenistan,1939,4.37
Turkmenistan,1940,5.24
Turkmenistan,1941,4.6
Turkmenistan,1942,3.17
Turkmenistan,1943,4.04
Turkmenistan,1944,3.78
Turkmenistan,1945,4.01
Turkmenistan,1946,4.5
Turkmenistan,1947,5.42
Turkmenistan,1948,5.77
Turkmenistan,1949,6.56
Turkmenistan,1950,7.31
Turkmenistan,1951,7.93
Turkmenistan,1952,8.49
Turkmenistan,1953,8.98
Turkmenistan,1954,9.81
Turkmenistan,1955,11.12
Turkmenistan,1956,12.19
Turkmenistan,1957,13.34
Turkmenistan,1958,14.24
Turkmenistan,1959,14.98
Turkmenistan,1960,15.59
Turkmenistan,1961,16.08
Turkmenistan,1962,16.88
Turkmenistan,1963,18.1
Turkmenistan,1964,19.25
Turkmenistan,1965,20.42
Turkmenistan,1966,21.57
Turkmenistan,1967,22.55
Turkmenistan,1968,23.19
Turkmenistan,1969,24.15
Turkmenistan,1970,25.4
Turkmenistan,1971,26.72
Turkmenistan,1972,28.14
Turkmenistan,1973,29.3
Turkmenistan,1974,30.41
Turkmenistan,1975,31.95
Turkmenistan,1976,33.16
Turkmenistan,1977,34.27
Turkmenistan,1978,35.44
Turkmenistan,1979,35.93
Turkmenistan,1980,37.35
Turkmenistan,1981,36.64
Turkmenistan,1982,37.34
Turkmenistan,1983,37.88
Turkmenistan,1984,38.23
Turkmenistan,1985,41.23
Turkmenistan,1986,41.37
Turkmenistan,1987,43.14
Turkmenistan,1988,44.1
Turkmenistan,1989,43.18
Turkmenistan,1990,45.39
Turkmenistan,1991,38.48
Turkmenistan,1992,28.19
Turkmenistan,1993,26.73
Turkmenistan,1994,32.92
Turkmenistan,1995,33.47
Turkmenistan,1996,29.72
Turkmenistan,1997,29.97
Turkmenistan,1998,30.62
Turkmenistan,1999,35.8
Turkmenistan,2000,36.88
Turkmenistan,2001,38.11
Turkmenistan,2002,39.94
Turkmenistan,2003,44.44
Turkmenistan,2004,46.86
Turkmenistan,2005,48.41
Turkmenistan,2006,49.82
Turkmenistan,2007,56.29
Turkmenistan,2008,56.95
Turkmenistan,2009,50.49
Turkmenistan,2010,57.47
Turkmenistan,2011,63.63
Turkmenistan,2012,65.26
Turkmenistan,2013,68.07
