country,year,emissions
Bulgaria,1850,0.0
Bulgaria,1851,0.0
Bulgaria,1852,0.0
Bulgaria,1853,0.0
Bulgaria,1854,0.0
Bulgaria,1855,0.0
Bulgaria,1856,0.0
Bulgaria,1857,0.0
Bulgaria,1858,0.0
Bulgaria,1859,0.0
Bulgaria,1860,0.0
Bulgaria,1861,0.0
Bulgaria,1862,0.0
Bulgaria,1863,0.0
Bulgaria,1864,0.0
Bulgaria,1865,0.0
Bulgaria,1866,0.0
Bulgaria,1867,0.0
Bulgaria,1868,0.0
Bulgaria,1869,0.0
Bulgaria,1870,0.0
Bulgaria,1871,0.0
Bulgaria,1872,0.0
Bulgaria,1873,0.0
Bulgaria,1874,0.0
Bulgaria,1875,0.0
Bulgaria,1876,0.0
Bulgaria,1877,0.0
Bulgaria,1878,0.0
Bulgaria,1879,0.0
Bulgaria,1880,0.0
Bulgaria,1881,0.0
Bulgaria,1882,0.0
Bulgaria,1883,0.01
Bulgaria,1884,0.01
Bulgaria,1885,0.01
Bulgaria,1886,0.01
Bulgaria,1887,0.01
Bulgaria,1888,0.02
Bulgaria,1889,0.03
Bulgaria,1890,0.03
Bulgaria,1891,0.04
Bulgaria,1892,0.05
Bulgaria,1893,0.06
Bulgaria,1894,0.08
Bulgaria,1895,0.08
Bulgaria,1896,0.11
Bulgaria,1897,0.11
Bulgaria,1898,0.15
Bulgaria,1899,0.15
Bulgaria,1900,0.22
Bulgaria,1901,0.27
Bulgaria,1902,0.24
Bulgaria,1903,0.23
Bulgaria,1904,0.3
Bulgaria,1905,0.36
Bulgaria,1906,0.32
Bulgaria,1907,0.45
Bulgaria,1908,0.6
Bulgaria,1909,0.6
Bulgaria,1910,0.63
Bulgaria,1911,0.9
Bulgaria,1912,0.9
Bulgaria,1913,0.79
Bulgaria,1914,1.18
Bulgaria,1915,0.76
Bulgaria,1916,0.92
Bulgaria,1917,1.14
Bulgaria,1918,1.42
Bulgaria,1919,0.84
Bulgaria,1920,1.1
Bulgaria,1921,1.37
Bulgaria,1922,1.51
Bulgaria,1923,1.6
Bulgaria,1924,1.84
Bulgaria,1925,1.81
Bulgaria,1926,1.78
Bulgaria,1927,1.82
Bulgaria,1928,2.14
Bulgaria,1929,2.48
Bulgaria,1930,2.4
Bulgaria,1931,2.28
Bulgaria,1932,2.64
Bulgaria,1933,2.35
Bulgaria,1934,2.44
Bulgaria,1935,2.47
Bulgaria,1936,2.51
Bulgaria,1937,2.79
Bulgaria,1938,3.17
Bulgaria,1939,3.48
Bulgaria,1940,4.1
Bulgaria,1941,4.42
Bulgaria,1942,5.35
Bulgaria,1943,5.81
Bulgaria,1944,4.39
Bulgaria,1945,5.21
Bulgaria,1946,4.98
Bulgaria,1947,5.91
Bulgaria,1948,6.22
Bulgaria,1949,7.45
Bulgaria,1950,7.5
Bulgaria,1951,8.17
Bulgaria,1952,9.43
Bulgaria,1953,10.59
Bulgaria,1954,11.4
Bulgaria,1955,12.09
Bulgaria,1956,12.97
Bulgaria,1957,14.39
Bulgaria,1958,15.63
Bulgaria,1959,19.63
Bulgaria,1960,22.27
Bulgaria,1961,25.95
Bulgaria,1962,30.71
Bulgaria,1963,34.38
Bulgaria,1964,42.83
Bulgaria,1965,46.28
Bulgaria,1966,48.73
Bulgaria,1967,55.12
Bulgaria,1968,59.48
Bulgaria,1969,66.32
Bulgaria,1970,61.19
Bulgaria,1971,65.77
Bulgaria,1972,67.83
Bulgaria,1973,69.82
Bulgaria,1974,70.93
Bulgaria,1975,75.49
Bulgaria,1976,75.37
Bulgaria,1977,78.28
Bulgaria,1978,81.59
Bulgaria,1979,84.95
Bulgaria,1980,87.72
Bulgaria,1981,83.78
Bulgaria,1982,85.52
Bulgaria,1983,84.11
Bulgaria,1984,82.25
Bulgaria,1985,84.87
Bulgaria,1986,86.03
Bulgaria,1987,86.99
Bulgaria,1988,85.94
Bulgaria,1989,85.06
Bulgaria,1990,76.92
Bulgaria,1991,57.79
Bulgaria,1992,55.17
Bulgaria,1993,55.51
Bulgaria,1994,53.04
Bulgaria,1995,53.77
Bulgaria,1996,54.25
Bulgaria,1997,52.12
Bulgaria,1998,49.89
Bulgaria,1999,44.07
Bulgaria,2000,43.29
Bulgaria,2001,46.07
Bulgaria,2002,43.56
Bulgaria,2003,47.78
Bulgaria,2004,47.27
Bulgaria,2005,48.3
Bulgaria,2006,49.69
Bulgaria,2007,53.19
Bulgaria,2008,50.85
Bulgaria,2009,43.72
Bulgaria,2010,45.38
Bulgaria,2011,50.14
Bulgaria,2012,45.35
Bulgaria,2013,40.24
