country,year,emissions
Burundi,1850,0.0
Burundi,1851,0.0
Burundi,1852,0.0
Burundi,1853,0.0
Burundi,1854,0.0
Burundi,1855,0.0
Burundi,1856,0.0
Burundi,1857,0.0
Burundi,1858,0.0
Burundi,1859,0.0
Burundi,1860,0.0
Burundi,1861,0.0
Burundi,1862,0.0
Burundi,1863,0.0
Burundi,1864,0.0
Burundi,1865,0.0
Burundi,1866,0.0
Burundi,1867,0.0
Burundi,1868,0.0
Burundi,1869,0.0
Burundi,1870,0.0
Burundi,1871,0.0
Burundi,1872,0.0
Burundi,1873,0.0
Burundi,1874,0.0
Burundi,1875,0.0
Burundi,1876,0.0
Burundi,1877,0.0
Burundi,1878,0.0
Burundi,1879,0.0
Burundi,1880,0.0
Burundi,1881,0.0
Burundi,1882,0.0
Burundi,1883,0.0
Burundi,1884,0.0
Burundi,1885,0.0
Burundi,1886,0.0
Burundi,1887,0.0
Burundi,1888,0.0
Burundi,1889,0.0
Burundi,1890,0.0
Burundi,1891,0.0
Burundi,1892,0.0
Burundi,1893,0.0
Burundi,1894,0.0
Burundi,1895,0.0
Burundi,1896,0.0
Burundi,1897,0.0
Burundi,1898,0.0
Burundi,1899,0.0
Burundi,1900,0.0
Burundi,1901,0.0
Burundi,1902,0.0
Burundi,1903,0.0
Burundi,1904,0.0
Burundi,1905,0.0
Burundi,1906,0.0
Burundi,1907,0.0
Burundi,1908,0.0
Burundi,1909,0.0
Burundi,1910,0.0
Burundi,1911,0.0
Burundi,1912,0.0
Burundi,1913,0.0
Burundi,1914,0.0
Burundi,1915,0.0
Burundi,1916,0.0
Burundi,1917,0.0
Burundi,1918,0.0
Burundi,1919,0.0
Burundi,1920,0.0
Burundi,1921,0.0
Burundi,1922,0.0
Burundi,1923,0.0
Burundi,1924,0.0
Burundi,1925,0.0
Burundi,1926,0.0
Burundi,1927,0.0
Burundi,1928,0.0
Burundi,1929,0.0
Burundi,1930,0.0
Burundi,1931,0.0
Burundi,1932,0.0
Burundi,1933,0.0
Burundi,1934,0.0
Burundi,1935,0.0
Burundi,1936,0.0
Burundi,1937,0.0
Burundi,1938,0.0
Burundi,1939,0.0
Burundi,1940,0.0
Burundi,1941,0.0
Burundi,1942,0.0
Burundi,1943,0.0
Burundi,1944,0.0
Burundi,1945,0.0
Burundi,1946,0.0
Burundi,1947,0.0
Burundi,1948,0.0
Burundi,1949,0.0
Burundi,1950,0.01
Burundi,1951,0.01
Burundi,1952,0.02
Burundi,1953,0.02
Burundi,1954,0.01
Burundi,1955,0.01
Burundi,1956,0.01
Burundi,1957,0.01
Burundi,1958,0.01
Burundi,1959,0.05
Burundi,1960,0.05
Burundi,1961,0.06
Burundi,1962,0.04
Burundi,1963,0.05
Burundi,1964,0.05
Burundi,1965,0.04
Burundi,1966,0.05
Burundi,1967,0.05
Burundi,1968,0.06
Burundi,1969,0.07
Burundi,1970,0.06
Burundi,1971,0.07
Burundi,1972,0.07
Burundi,1973,0.07
Burundi,1974,0.09
Burundi,1975,0.08
Burundi,1976,0.08
Burundi,1977,0.1
Burundi,1978,0.11
Burundi,1979,0.11
Burundi,1980,0.15
Burundi,1981,0.16
Burundi,1982,0.16
Burundi,1983,0.21
Burundi,1984,0.22
Burundi,1985,0.23
Burundi,1986,0.25
Burundi,1987,0.27
Burundi,1988,0.26
Burundi,1989,0.3
Burundi,1990,0.29
Burundi,1991,0.34
Burundi,1992,0.31
Burundi,1993,0.33
Burundi,1994,0.33
Burundi,1995,0.33
Burundi,1996,0.32
Burundi,1997,0.31
Burundi,1998,0.29
Burundi,1999,0.29
Burundi,2000,0.29
Burundi,2001,0.21
Burundi,2002,0.21
Burundi,2003,0.16
Burundi,2004,0.2
Burundi,2005,0.15
Burundi,2006,0.19
Burundi,2007,0.19
Burundi,2008,0.19
Burundi,2009,0.19
Burundi,2010,0.22
Burundi,2011,0.24
Burundi,2012,0.28
Burundi,2013,0.29
