country,year,emissions
Kyrgyzstan,1850,0.0
Kyrgyzstan,1851,0.0
Kyrgyzstan,1852,0.0
Kyrgyzstan,1853,0.0
Kyrgyzstan,1854,0.0
Kyrgyzstan,1855,0.0
Kyrgyzstan,1856,0.0
Kyrgyzstan,1857,0.0
Kyrgyzstan,1858,0.0
Kyrgyzstan,1859,0.0
Kyrgyzstan,1860,0.0
Kyrgyzstan,1861,0.0
Kyrgyzstan,1862,0.0
Kyrgyzstan,1863,0.0
Kyrgyzstan,1864,0.0
Kyrgyzstan,1865,0.0
Kyrgyzstan,1866,0.01
Kyrgyzstan,1867,0.01
Kyrgyzstan,1868,0.01
Kyrgyzstan,1869,0.02
Kyrgyzstan,1870,0.02
Kyrgyzstan,1871,0.02
Kyrgyzstan,1872,0.02
Kyrgyzstan,1873,0.02
Kyrgyzstan,1874,0.03
Kyrgyzstan,1875,0.03
Kyrgyzstan,1876,0.04
Kyrgyzstan,1877,0.04
Kyrgyzstan,1878,0.05
Kyrgyzstan,1879,0.06
Kyrgyzstan,1880,0.07
Kyrgyzstan,1881,0.07
Kyrgyzstan,1882,0.07
Kyrgyzstan,1883,0.08
Kyrgyzstan,1884,0.08
Kyrgyzstan,1885,0.09
Kyrgyzstan,1886,0.09
Kyrgyzstan,1887,0.1
Kyrgyzstan,1888,0.1
Kyrgyzstan,1889,0.11
Kyrgyzstan,1890,0.13
Kyrgyzstan,1891,0.14
Kyrgyzstan,1892,0.15
Kyrgyzstan,1893,0.17
Kyrgyzstan,1894,0.17
Kyrgyzstan,1895,0.2
Kyrgyzstan,1896,0.2
Kyrgyzstan,1897,0.24
Kyrgyzstan,1898,0.27
Kyrgyzstan,1899,0.31
Kyrgyzstan,1900,0.35
Kyrgyzstan,1901,0.36
Kyrgyzstan,1902,0.35
Kyrgyzstan,1903,0.34
Kyrgyzstan,1904,0.38
Kyrgyzstan,1905,0.34
Kyrgyzstan,1906,0.38
Kyrgyzstan,1907,0.43
Kyrgyzstan,1908,0.43
Kyrgyzstan,1909,0.46
Kyrgyzstan,1910,0.45
Kyrgyzstan,1911,0.46
Kyrgyzstan,1912,0.53
Kyrgyzstan,1913,0.57
Kyrgyzstan,1914,0.51
Kyrgyzstan,1915,0.47
Kyrgyzstan,1916,0.5
Kyrgyzstan,1917,0.46
Kyrgyzstan,1918,0.18
Kyrgyzstan,1919,0.16
Kyrgyzstan,1920,0.14
Kyrgyzstan,1921,0.16
Kyrgyzstan,1922,0.19
Kyrgyzstan,1923,0.21
Kyrgyzstan,1924,0.25
Kyrgyzstan,1925,0.25
Kyrgyzstan,1926,0.36
Kyrgyzstan,1927,0.45
Kyrgyzstan,1928,0.5
Kyrgyzstan,1929,0.54
Kyrgyzstan,1930,0.73
Kyrgyzstan,1931,0.88
Kyrgyzstan,1932,0.99
Kyrgyzstan,1933,1.1
Kyrgyzstan,1934,1.33
Kyrgyzstan,1935,1.51
Kyrgyzstan,1936,1.73
Kyrgyzstan,1937,1.77
Kyrgyzstan,1938,1.87
Kyrgyzstan,1939,1.89
Kyrgyzstan,1940,2.27
Kyrgyzstan,1941,1.99
Kyrgyzstan,1942,1.36
Kyrgyzstan,1943,1.74
Kyrgyzstan,1944,1.63
Kyrgyzstan,1945,1.73
Kyrgyzstan,1946,1.95
Kyrgyzstan,1947,2.34
Kyrgyzstan,1948,2.5
Kyrgyzstan,1949,2.84
Kyrgyzstan,1950,3.17
Kyrgyzstan,1951,3.44
Kyrgyzstan,1952,3.68
Kyrgyzstan,1953,3.9
Kyrgyzstan,1954,4.26
Kyrgyzstan,1955,4.83
Kyrgyzstan,1956,5.3
Kyrgyzstan,1957,5.8
Kyrgyzstan,1958,6.2
Kyrgyzstan,1959,6.53
Kyrgyzstan,1960,6.81
Kyrgyzstan,1961,7.03
Kyrgyzstan,1962,7.39
Kyrgyzstan,1963,7.92
Kyrgyzstan,1964,8.42
Kyrgyzstan,1965,8.94
Kyrgyzstan,1966,9.45
Kyrgyzstan,1967,9.88
Kyrgyzstan,1968,10.16
Kyrgyzstan,1969,10.58
Kyrgyzstan,1970,11.13
Kyrgyzstan,1971,11.71
Kyrgyzstan,1972,12.33
Kyrgyzstan,1973,12.84
Kyrgyzstan,1974,13.33
Kyrgyzstan,1975,14.01
Kyrgyzstan,1976,14.53
Kyrgyzstan,1977,15.02
Kyrgyzstan,1978,15.52
Kyrgyzstan,1979,15.72
Kyrgyzstan,1980,16.34
Kyrgyzstan,1981,16.04
Kyrgyzstan,1982,16.33
Kyrgyzstan,1983,16.57
Kyrgyzstan,1984,16.73
Kyrgyzstan,1985,18.02
Kyrgyzstan,1986,18.09
Kyrgyzstan,1987,18.86
Kyrgyzstan,1988,19.28
Kyrgyzstan,1989,18.88
Kyrgyzstan,1990,23.38
Kyrgyzstan,1991,21.0
Kyrgyzstan,1992,13.85
Kyrgyzstan,1993,10.15
Kyrgyzstan,1994,6.57
Kyrgyzstan,1995,4.61
Kyrgyzstan,1996,5.8
Kyrgyzstan,1997,5.73
Kyrgyzstan,1998,6.07
Kyrgyzstan,1999,4.81
Kyrgyzstan,2000,4.7
Kyrgyzstan,2001,3.99
Kyrgyzstan,2002,5.0
Kyrgyzstan,2003,5.64
Kyrgyzstan,2004,5.62
Kyrgyzstan,2005,5.37
Kyrgyzstan,2006,5.41
Kyrgyzstan,2007,6.57
Kyrgyzstan,2008,7.62
Kyrgyzstan,2009,6.81
Kyrgyzstan,2010,6.42
Kyrgyzstan,2011,7.72
Kyrgyzstan,2012,10.19
Kyrgyzstan,2013,9.72
