country,year,emissions
Czech Republic,1850,0.0
Czech Republic,1851,0.0
Czech Republic,1852,0.0
Czech Republic,1853,0.0
Czech Republic,1854,0.0
Czech Republic,1855,0.0
Czech Republic,1856,0.0
Czech Republic,1857,0.0
Czech Republic,1858,0.0
Czech Republic,1859,0.0
Czech Republic,1860,0.21
Czech Republic,1861,0.69
Czech Republic,1862,1.18
Czech Republic,1863,1.66
Czech Republic,1864,2.15
Czech Republic,1865,2.63
Czech Republic,1866,3.12
Czech Republic,1867,3.6
Czech Republic,1868,4.09
Czech Republic,1869,4.57
Czech Republic,1870,5.06
Czech Republic,1871,5.54
Czech Republic,1872,6.02
Czech Republic,1873,6.51
Czech Republic,1874,6.99
Czech Republic,1875,7.48
Czech Republic,1876,12.93
Czech Republic,1877,13.58
Czech Republic,1878,14.24
Czech Republic,1879,15.3
Czech Republic,1880,16.21
Czech Republic,1881,17.12
Czech Republic,1882,17.51
Czech Republic,1883,18.7
Czech Republic,1884,19.31
Czech Republic,1885,20.28
Czech Republic,1886,21.32
Czech Republic,1887,22.39
Czech Republic,1888,24.0
Czech Republic,1889,25.41
Czech Republic,1890,27.17
Czech Republic,1891,28.17
Czech Republic,1892,28.6
Czech Republic,1893,29.24
Czech Republic,1894,29.97
Czech Republic,1895,31.1
Czech Republic,1896,31.87
Czech Republic,1897,33.73
Czech Republic,1898,34.48
Czech Republic,1899,35.38
Czech Republic,1900,35.12
Czech Republic,1901,36.7
Czech Republic,1902,37.19
Czech Republic,1903,37.89
Czech Republic,1904,38.26
Czech Republic,1905,39.38
Czech Republic,1906,41.13
Czech Republic,1907,43.22
Czech Republic,1908,44.02
Czech Republic,1909,43.75
Czech Republic,1910,43.29
Czech Republic,1911,43.84
Czech Republic,1912,46.65
Czech Republic,1913,48.8
Czech Republic,1914,44.48
Czech Republic,1915,44.38
Czech Republic,1916,47.24
Czech Republic,1917,44.42
Czech Republic,1918,37.87
Czech Republic,1919,35.78
Czech Republic,1920,35.48
Czech Republic,1921,34.08
Czech Republic,1922,30.42
Czech Republic,1923,32.15
Czech Republic,1924,39.46
Czech Republic,1925,37.14
Czech Republic,1926,37.65
Czech Republic,1927,40.4
Czech Republic,1928,42.55
Czech Republic,1929,47.59
Czech Republic,1930,41.87
Czech Republic,1931,39.17
Czech Republic,1932,34.14
Czech Republic,1933,31.23
Czech Republic,1934,31.19
Czech Republic,1935,32.11
Czech Republic,1936,34.89
Czech Republic,1937,42.25
Czech Republic,1938,48.52
Czech Republic,1939,53.29
Czech Republic,1940,60.07
Czech Republic,1941,60.46
Czech Republic,1942,65.2
Czech Republic,1943,71.99
Czech Republic,1944,68.66
Czech Republic,1945,36.44
Czech Republic,1946,45.28
Czech Republic,1947,51.37
Czech Republic,1948,55.51
Czech Republic,1949,58.35
Czech Republic,1950,60.07
Czech Republic,1951,64.01
Czech Republic,1952,68.44
Czech Republic,1953,70.93
Czech Republic,1954,75.74
Czech Republic,1955,78.61
Czech Republic,1956,84.35
Czech Republic,1957,88.07
Czech Republic,1958,96.22
Czech Republic,1959,96.27
Czech Republic,1960,102.67
Czech Republic,1961,111.45
Czech Republic,1962,118.76
Czech Republic,1963,124.99
Czech Republic,1964,130.07
Czech Republic,1965,126.71
Czech Republic,1966,125.97
Czech Republic,1967,125.68
Czech Republic,1968,131.51
Czech Republic,1969,139.63
Czech Republic,1970,160.1
Czech Republic,1971,156.12
Czech Republic,1972,155.09
Czech Republic,1973,152.13
Czech Republic,1974,151.45
Czech Republic,1975,158.05
Czech Republic,1976,162.99
Czech Republic,1977,172.56
Czech Republic,1978,168.72
Czech Republic,1979,178.3
Czech Republic,1980,171.48
Czech Republic,1981,172.15
Czech Republic,1982,174.71
Czech Republic,1983,175.99
Czech Republic,1984,178.68
Czech Republic,1985,178.69
Czech Republic,1986,178.71
Czech Republic,1987,179.77
Czech Republic,1988,176.51
Czech Republic,1989,168.94
Czech Republic,1990,153.59
Czech Republic,1991,139.68
Czech Republic,1992,134.77
Czech Republic,1993,131.59
Czech Republic,1994,125.24
Czech Republic,1995,125.68
Czech Republic,1996,127.23
Czech Republic,1997,125.24
Czech Republic,1998,119.23
Czech Republic,1999,112.18
Czech Republic,2000,123.37
Czech Republic,2001,122.96
Czech Republic,2002,118.82
Czech Republic,2003,123.12
Czech Republic,2004,123.81
Czech Republic,2005,120.44
Czech Republic,2006,121.05
Czech Republic,2007,123.67
Czech Republic,2008,118.28
Czech Republic,2009,110.92
Czech Republic,2010,113.13
Czech Republic,2011,112.38
Czech Republic,2012,107.38
Czech Republic,2013,102.77
