country,year,emissions
Saudi Arabia,1850,0.0
Saudi Arabia,1851,0.0
Saudi Arabia,1852,0.0
Saudi Arabia,1853,0.0
Saudi Arabia,1854,0.0
Saudi Arabia,1855,0.0
Saudi Arabia,1856,0.0
Saudi Arabia,1857,0.0
Saudi Arabia,1858,0.0
Saudi Arabia,1859,0.0
Saudi Arabia,1860,0.0
Saudi Arabia,1861,0.0
Saudi Arabia,1862,0.0
Saudi Arabia,1863,0.0
Saudi Arabia,1864,0.0
Saudi Arabia,1865,0.0
Saudi Arabia,1866,0.0
Saudi Arabia,1867,0.0
Saudi Arabia,1868,0.0
Saudi Arabia,1869,0.0
Saudi Arabia,1870,0.0
Saudi Arabia,1871,0.0
Saudi Arabia,1872,0.0
Saudi Arabia,1873,0.0
Saudi Arabia,1874,0.0
Saudi Arabia,1875,0.0
Saudi Arabia,1876,0.0
Saudi Arabia,1877,0.0
Saudi Arabia,1878,0.0
Saudi Arabia,1879,0.0
Saudi Arabia,1880,0.0
Saudi Arabia,1881,0.0
Saudi Arabia,1882,0.0
Saudi Arabia,1883,0.0
Saudi Arabia,1884,0.0
Saudi Arabia,1885,0.0
Saudi Arabia,1886,0.0
Saudi Arabia,1887,0.0
Saudi Arabia,1888,0.0
Saudi Arabia,1889,0.0
Saudi Arabia,1890,0.0
Saudi Arabia,1891,0.0
Saudi Arabia,1892,0.0
Saudi Arabia,1893,0.0
Saudi Arabia,1894,0.0
Saudi Arabia,1895,0.0
Saudi Arabia,1896,0.0
Saudi Arabia,1897,0.0
Saudi Arabia,1898,0.0
Saudi Arabia,1899,0.0
Saudi Arabia,1900,0.0
Saudi Arabia,1901,0.0
Saudi Arabia,1902,0.0
Saudi Arabia,1903,0.0
Saudi Arabia,1904,0.0
Saudi Arabia,1905,0.0
Saudi Arabia,1906,0.0
Saudi Arabia,1907,0.0
Saudi Arabia,1908,0.0
Saudi Arabia,1909,0.0
Saudi Arabia,1910,0.0
Saudi Arabia,1911,0.0
Saudi Arabia,1912,0.0
Saudi Arabia,1913,0.0
Saudi Arabia,1914,0.0
Saudi Arabia,1915,0.0
Saudi Arabia,1916,0.0
Saudi Arabia,1917,0.0
Saudi Arabia,1918,0.0
Saudi Arabia,1919,0.0
Saudi Arabia,1920,0.0
Saudi Arabia,1921,0.0
Saudi Arabia,1922,0.0
Saudi Arabia,1923,0.0
Saudi Arabia,1924,0.0
Saudi Arabia,1925,0.0
Saudi Arabia,1926,0.0
Saudi Arabia,1927,0.0
Saudi Arabia,1928,0.0
Saudi Arabia,1929,0.0
Saudi Arabia,1930,0.0
Saudi Arabia,1931,0.0
Saudi Arabia,1932,0.0
Saudi Arabia,1933,0.0
Saudi Arabia,1934,0.0
Saudi Arabia,1935,0.0
Saudi Arabia,1936,0.01
Saudi Arabia,1937,0.03
Saudi Arabia,1938,0.21
Saudi Arabia,1939,1.65
Saudi Arabia,1940,2.15
Saudi Arabia,1941,1.81
Saudi Arabia,1942,1.9
Saudi Arabia,1943,1.99
Saudi Arabia,1944,3.26
Saudi Arabia,1945,8.81
Saudi Arabia,1946,25.15
Saudi Arabia,1947,37.73
Saudi Arabia,1948,17.94
Saudi Arabia,1949,18.39
Saudi Arabia,1950,5.14
Saudi Arabia,1951,0.35
Saudi Arabia,1952,0.17
Saudi Arabia,1953,0.48
Saudi Arabia,1954,1.24
Saudi Arabia,1955,2.11
Saudi Arabia,1956,1.63
Saudi Arabia,1957,2.1
Saudi Arabia,1958,3.36
Saudi Arabia,1959,1.85
Saudi Arabia,1960,2.67
Saudi Arabia,1961,3.57
Saudi Arabia,1962,6.25
Saudi Arabia,1963,6.94
Saudi Arabia,1964,7.04
Saudi Arabia,1965,4.22
Saudi Arabia,1966,6.41
Saudi Arabia,1967,6.8
Saudi Arabia,1968,8.83
Saudi Arabia,1969,11.68
Saudi Arabia,1970,16.73
Saudi Arabia,1971,13.02
Saudi Arabia,1972,14.89
Saudi Arabia,1973,18.04
Saudi Arabia,1974,20.73
Saudi Arabia,1975,23.07
Saudi Arabia,1976,26.45
Saudi Arabia,1977,35.06
Saudi Arabia,1978,53.73
Saudi Arabia,1979,74.72
Saudi Arabia,1980,170.72
Saudi Arabia,1981,161.87
Saudi Arabia,1982,167.83
Saudi Arabia,1983,168.58
Saudi Arabia,1984,147.9
Saudi Arabia,1985,127.57
Saudi Arabia,1986,128.14
Saudi Arabia,1987,138.12
Saudi Arabia,1988,149.82
Saudi Arabia,1989,150.82
Saudi Arabia,1990,166.52
Saudi Arabia,1991,186.73
Saudi Arabia,1992,199.54
Saudi Arabia,1993,206.41
Saudi Arabia,1994,218.99
Saudi Arabia,1995,222.62
Saudi Arabia,1996,234.33
Saudi Arabia,1997,215.16
Saudi Arabia,1998,230.66
Saudi Arabia,1999,234.79
Saudi Arabia,2000,244.63
Saudi Arabia,2001,248.95
Saudi Arabia,2002,267.3
Saudi Arabia,2003,278.52
Saudi Arabia,2004,295.07
Saudi Arabia,2005,311.28
Saudi Arabia,2006,330.16
Saudi Arabia,2007,348.62
Saudi Arabia,2008,380.02
Saudi Arabia,2009,402.32
Saudi Arabia,2010,442.77
Saudi Arabia,2011,459.82
Saudi Arabia,2012,491.34
Saudi Arabia,2013,499.44
