country,year,emissions
Romania,1850,0.0
Romania,1851,0.0
Romania,1852,0.0
Romania,1853,0.0
Romania,1854,0.0
Romania,1855,0.0
Romania,1856,0.0
Romania,1857,0.0
Romania,1858,0.0
Romania,1859,0.0
Romania,1860,0.0
Romania,1861,0.01
Romania,1862,0.01
Romania,1863,0.01
Romania,1864,0.01
Romania,1865,0.01
Romania,1866,0.02
Romania,1867,0.02
Romania,1868,0.03
Romania,1869,0.03
Romania,1870,0.04
Romania,1871,0.04
Romania,1872,0.04
Romania,1873,0.04
Romania,1874,0.04
Romania,1875,0.05
Romania,1876,0.05
Romania,1877,0.05
Romania,1878,0.05
Romania,1879,0.05
Romania,1880,0.05
Romania,1881,0.05
Romania,1882,0.22
Romania,1883,0.41
Romania,1884,0.47
Romania,1885,0.45
Romania,1886,0.48
Romania,1887,0.53
Romania,1888,0.63
Romania,1889,0.64
Romania,1890,0.81
Romania,1891,1.12
Romania,1892,1.05
Romania,1893,1.14
Romania,1894,1.04
Romania,1895,1.08
Romania,1896,1.12
Romania,1897,1.3
Romania,1898,1.71
Romania,1899,1.61
Romania,1900,1.24
Romania,1901,1.6
Romania,1902,1.59
Romania,1903,1.85
Romania,1904,2.19
Romania,1905,2.66
Romania,1906,3.6
Romania,1907,4.55
Romania,1908,4.39
Romania,1909,4.85
Romania,1910,4.82
Romania,1911,5.78
Romania,1912,6.01
Romania,1913,6.99
Romania,1914,5.78
Romania,1915,5.15
Romania,1916,3.0
Romania,1917,2.51
Romania,1918,3.19
Romania,1919,4.66
Romania,1920,5.49
Romania,1921,5.92
Romania,1922,7.14
Romania,1923,8.48
Romania,1924,10.0
Romania,1925,11.71
Romania,1926,14.51
Romania,1927,16.13
Romania,1928,18.27
Romania,1929,20.49
Romania,1930,23.24
Romania,1931,25.85
Romania,1932,27.36
Romania,1933,27.31
Romania,1934,31.66
Romania,1935,31.53
Romania,1936,33.16
Romania,1937,28.47
Romania,1938,26.72
Romania,1939,25.19
Romania,1940,23.95
Romania,1941,22.55
Romania,1942,23.67
Romania,1943,22.11
Romania,1944,15.06
Romania,1945,18.91
Romania,1946,17.47
Romania,1947,16.35
Romania,1948,23.38
Romania,1949,23.12
Romania,1950,19.42
Romania,1951,22.5
Romania,1952,26.64
Romania,1953,30.63
Romania,1954,33.51
Romania,1955,36.79
Romania,1956,40.79
Romania,1957,45.94
Romania,1958,49.8
Romania,1959,50.65
Romania,1960,53.41
Romania,1961,55.73
Romania,1962,63.83
Romania,1963,69.48
Romania,1964,72.06
Romania,1965,78.66
Romania,1966,84.11
Romania,1967,92.05
Romania,1968,100.11
Romania,1969,111.55
Romania,1970,120.02
Romania,1971,118.9
Romania,1972,122.91
Romania,1973,134.0
Romania,1974,135.35
Romania,1975,146.31
Romania,1976,160.0
Romania,1977,167.62
Romania,1978,181.66
Romania,1979,186.49
Romania,1980,185.12
Romania,1981,186.03
Romania,1982,183.92
Romania,1983,185.94
Romania,1984,181.88
Romania,1985,180.97
Romania,1986,187.08
Romania,1987,195.99
Romania,1988,200.99
Romania,1989,196.47
Romania,1990,173.03
Romania,1991,142.98
Romania,1992,127.03
Romania,1993,117.96
Romania,1994,115.69
Romania,1995,121.03
Romania,1996,124.36
Romania,1997,114.07
Romania,1998,100.12
Romania,1999,85.98
Romania,2000,89.26
Romania,2001,94.18
Romania,2002,93.75
Romania,2003,99.99
Romania,2004,96.87
Romania,2005,96.16
Romania,2006,99.43
Romania,2007,97.49
Romania,2008,96.56
Romania,2009,81.35
Romania,2010,78.2
Romania,2011,84.54
Romania,2012,82.71
Romania,2013,72.71
