country,year,emissions
Uzbekistan,1850,0.0
Uzbekistan,1851,0.0
Uzbekistan,1852,0.0
Uzbekistan,1853,0.0
Uzbekistan,1854,0.0
Uzbekistan,1855,0.01
Uzbekistan,1856,0.0
Uzbekistan,1857,0.0
Uzbekistan,1858,0.02
Uzbekistan,1859,0.02
Uzbekistan,1860,0.02
Uzbekistan,1861,0.03
Uzbekistan,1862,0.03
Uzbekistan,1863,0.03
Uzbekistan,1864,0.03
Uzbekistan,1865,0.03
Uzbekistan,1866,0.1
Uzbekistan,1867,0.11
Uzbekistan,1868,0.09
Uzbekistan,1869,0.13
Uzbekistan,1870,0.14
Uzbekistan,1871,0.19
Uzbekistan,1872,0.19
Uzbekistan,1873,0.18
Uzbekistan,1874,0.22
Uzbekistan,1875,0.25
Uzbekistan,1876,0.31
Uzbekistan,1877,0.32
Uzbekistan,1878,0.42
Uzbekistan,1879,0.43
Uzbekistan,1880,0.5
Uzbekistan,1881,0.53
Uzbekistan,1882,0.56
Uzbekistan,1883,0.64
Uzbekistan,1884,0.65
Uzbekistan,1885,0.7
Uzbekistan,1886,0.72
Uzbekistan,1887,0.76
Uzbekistan,1888,0.8
Uzbekistan,1889,0.86
Uzbekistan,1890,0.97
Uzbekistan,1891,1.07
Uzbekistan,1892,1.14
Uzbekistan,1893,1.33
Uzbekistan,1894,1.36
Uzbekistan,1895,1.56
Uzbekistan,1896,1.59
Uzbekistan,1897,1.83
Uzbekistan,1898,2.06
Uzbekistan,1899,2.39
Uzbekistan,1900,2.7
Uzbekistan,1901,2.78
Uzbekistan,1902,2.68
Uzbekistan,1903,2.62
Uzbekistan,1904,2.92
Uzbekistan,1905,2.6
Uzbekistan,1906,2.97
Uzbekistan,1907,3.33
Uzbekistan,1908,3.35
Uzbekistan,1909,3.53
Uzbekistan,1910,3.47
Uzbekistan,1911,3.59
Uzbekistan,1912,4.07
Uzbekistan,1913,4.42
Uzbekistan,1914,3.99
Uzbekistan,1915,3.66
Uzbekistan,1916,3.9
Uzbekistan,1917,3.59
Uzbekistan,1918,1.43
Uzbekistan,1919,1.22
Uzbekistan,1920,1.12
Uzbekistan,1921,1.21
Uzbekistan,1922,1.48
Uzbekistan,1923,1.63
Uzbekistan,1924,1.94
Uzbekistan,1925,1.92
Uzbekistan,1926,2.78
Uzbekistan,1927,3.45
Uzbekistan,1928,3.87
Uzbekistan,1929,4.17
Uzbekistan,1930,5.66
Uzbekistan,1931,6.8
Uzbekistan,1932,7.66
Uzbekistan,1933,8.54
Uzbekistan,1934,10.33
Uzbekistan,1935,11.7
Uzbekistan,1936,13.43
Uzbekistan,1937,13.72
Uzbekistan,1938,14.48
Uzbekistan,1939,14.66
Uzbekistan,1940,17.56
Uzbekistan,1941,15.44
Uzbekistan,1942,10.56
Uzbekistan,1943,13.49
Uzbekistan,1944,12.63
Uzbekistan,1945,13.4
Uzbekistan,1946,15.08
Uzbekistan,1947,18.17
Uzbekistan,1948,19.36
Uzbekistan,1949,22.01
Uzbekistan,1950,24.56
Uzbekistan,1951,26.63
Uzbekistan,1952,28.53
Uzbekistan,1953,30.2
Uzbekistan,1954,33.01
Uzbekistan,1955,37.44
Uzbekistan,1956,41.06
Uzbekistan,1957,44.96
Uzbekistan,1958,48.02
Uzbekistan,1959,50.55
Uzbekistan,1960,52.71
Uzbekistan,1961,54.41
Uzbekistan,1962,57.17
Uzbekistan,1963,61.3
Uzbekistan,1964,65.2
Uzbekistan,1965,69.22
Uzbekistan,1966,73.15
Uzbekistan,1967,76.51
Uzbekistan,1968,78.66
Uzbekistan,1969,81.9
Uzbekistan,1970,86.15
Uzbekistan,1971,90.65
Uzbekistan,1972,95.45
Uzbekistan,1973,99.4
Uzbekistan,1974,103.17
Uzbekistan,1975,108.43
Uzbekistan,1976,112.49
Uzbekistan,1977,116.25
Uzbekistan,1978,120.13
Uzbekistan,1979,121.7
Uzbekistan,1980,126.49
Uzbekistan,1981,124.15
Uzbekistan,1982,126.43
Uzbekistan,1983,128.3
Uzbekistan,1984,129.49
Uzbekistan,1985,139.51
Uzbekistan,1986,140.05
Uzbekistan,1987,145.99
Uzbekistan,1988,149.24
Uzbekistan,1989,146.18
Uzbekistan,1990,119.42
Uzbekistan,1991,122.95
Uzbekistan,1992,114.1
Uzbekistan,1993,114.8
Uzbekistan,1994,108.78
Uzbekistan,1995,96.23
Uzbekistan,1996,97.27
Uzbekistan,1997,98.58
Uzbekistan,1998,114.41
Uzbekistan,1999,116.08
Uzbekistan,2000,115.72
Uzbekistan,2001,117.44
Uzbekistan,2002,121.67
Uzbekistan,2003,117.3
Uzbekistan,2004,114.56
Uzbekistan,2005,109.66
Uzbekistan,2006,112.31
Uzbekistan,2007,113.14
Uzbekistan,2008,112.37
Uzbekistan,2009,102.63
Uzbekistan,2010,100.49
Uzbekistan,2011,109.09
Uzbekistan,2012,110.99
Uzbekistan,2013,99.77
