country,year,emissions
Canada,1850,0.06
Canada,1851,0.07
Canada,1852,0.08
Canada,1853,0.1
Canada,1854,0.12
Canada,1855,0.15
Canada,1856,0.18
Canada,1857,0.22
Canada,1858,0.26
Canada,1859,0.32
Canada,1860,0.38
Canada,1861,0.46
Canada,1862,0.56
Canada,1863,0.7
Canada,1864,0.84
Canada,1865,1.02
Canada,1866,1.24
Canada,1867,1.59
Canada,1868,0.95
Canada,1869,0.69
Canada,1870,1.22
Canada,1871,1.78
Canada,1872,1.84
Canada,1873,1.61
Canada,1874,1.62
Canada,1875,1.87
Canada,1876,1.85
Canada,1877,2.02
Canada,1878,1.93
Canada,1879,2.18
Canada,1880,5.23
Canada,1881,5.59
Canada,1882,6.62
Canada,1883,7.43
Canada,1884,8.6
Canada,1885,8.24
Canada,1886,8.8
Canada,1887,10.15
Canada,1888,13.31
Canada,1889,11.29
Canada,1890,12.41
Canada,1891,13.94
Canada,1892,13.89
Canada,1893,14.85
Canada,1894,14.18
Canada,1895,13.53
Canada,1896,14.65
Canada,1897,14.8
Canada,1898,15.71
Canada,1899,19.17
Canada,1900,20.62
Canada,1901,23.85
Canada,1902,25.65
Canada,1903,27.96
Canada,1904,33.1
Canada,1905,35.39
Canada,1906,37.39
Canada,1907,46.99
Canada,1908,47.41
Canada,1909,45.39
Canada,1910,51.62
Canada,1911,60.27
Canada,1912,67.27
Canada,1913,79.28
Canada,1914,68.38
Canada,1915,61.12
Canada,1916,76.45
Canada,1917,85.25
Canada,1918,89.52
Canada,1919,76.09
Canada,1920,84.37
Canada,1921,80.48
Canada,1922,69.21
Canada,1923,92.98
Canada,1924,77.38
Canada,1925,75.24
Canada,1926,84.76
Canada,1927,92.0
Canada,1928,93.78
Canada,1929,99.04
Canada,1930,94.36
Canada,1931,75.86
Canada,1932,70.21
Canada,1933,69.48
Canada,1934,79.91
Canada,1935,78.8
Canada,1936,86.17
Canada,1937,93.49
Canada,1938,85.55
Canada,1939,95.0
Canada,1940,108.62
Canada,1941,120.16
Canada,1942,131.08
Canada,1943,138.07
Canada,1944,140.41
Canada,1945,130.53
Canada,1946,138.43
Canada,1947,143.56
Canada,1948,158.51
Canada,1949,145.04
Canada,1950,154.14
Canada,1951,162.69
Canada,1952,159.42
Canada,1953,159.35
Canada,1954,162.98
Canada,1955,167.4
Canada,1956,186.5
Canada,1957,178.64
Canada,1958,178.04
Canada,1959,181.35
Canada,1960,189.53
Canada,1961,190.03
Canada,1962,202.41
Canada,1963,206.4
Canada,1964,233.37
Canada,1965,247.74
Canada,1966,254.86
Canada,1967,277.48
Canada,1968,298.99
Canada,1969,302.68
Canada,1970,336.4
Canada,1971,344.25
Canada,1972,362.34
Canada,1973,380.6
Canada,1974,390.43
Canada,1975,381.99
Canada,1976,393.94
Canada,1977,406.32
Canada,1978,408.18
Canada,1979,423.08
Canada,1980,430.36
Canada,1981,410.54
Canada,1982,392.47
Canada,1983,385.9
Canada,1984,402.53
Canada,1985,403.37
Canada,1986,395.34
Canada,1987,407.47
Canada,1988,437.48
Canada,1989,452.82
Canada,1990,429.45
Canada,1991,422.17
Canada,1992,433.29
Canada,1993,430.79
Canada,1994,447.94
Canada,1995,458.6
Canada,1996,472.86
Canada,1997,488.91
Canada,1998,496.44
Canada,1999,505.34
Canada,2000,526.83
Canada,2001,518.69
Canada,2002,524.75
Canada,2003,544.73
Canada,2004,536.55
Canada,2005,545.59
Canada,2006,535.04
Canada,2007,567.2
Canada,2008,553.0
Canada,2009,522.04
Canada,2010,534.84
Canada,2011,544.82
Canada,2012,546.75
Canada,2013,558.85
