country,year,emissions
Russian Federation,1850,0.07
Russian Federation,1851,0.0
Russian Federation,1852,0.0
Russian Federation,1853,0.0
Russian Federation,1854,0.0
Russian Federation,1855,0.21
Russian Federation,1856,0.0
Russian Federation,1857,0.0
Russian Federation,1858,0.3
Russian Federation,1859,0.32
Russian Federation,1860,0.42
Russian Federation,1861,0.53
Russian Federation,1862,0.48
Russian Federation,1863,0.5
Russian Federation,1864,0.56
Russian Federation,1865,0.54
Russian Federation,1866,1.7
Russian Federation,1867,1.95
Russian Federation,1868,1.62
Russian Federation,1869,2.2
Russian Federation,1870,2.39
Russian Federation,1871,3.22
Russian Federation,1872,3.31
Russian Federation,1873,3.1
Russian Federation,1874,3.77
Russian Federation,1875,4.33
Russian Federation,1876,5.38
Russian Federation,1877,5.49
Russian Federation,1878,7.18
Russian Federation,1879,7.36
Russian Federation,1880,8.64
Russian Federation,1881,9.1
Russian Federation,1882,9.59
Russian Federation,1883,10.91
Russian Federation,1884,11.08
Russian Federation,1885,12.06
Russian Federation,1886,12.37
Russian Federation,1887,13.1
Russian Federation,1888,13.66
Russian Federation,1889,14.75
Russian Federation,1890,16.7
Russian Federation,1891,18.39
Russian Federation,1892,19.47
Russian Federation,1893,22.82
Russian Federation,1894,23.24
Russian Federation,1895,26.71
Russian Federation,1896,27.18
Russian Federation,1897,31.43
Russian Federation,1898,35.25
Russian Federation,1899,40.89
Russian Federation,1900,46.33
Russian Federation,1901,47.56
Russian Federation,1902,45.94
Russian Federation,1903,44.93
Russian Federation,1904,49.99
Russian Federation,1905,44.62
Russian Federation,1906,50.9
Russian Federation,1907,57.01
Russian Federation,1908,57.36
Russian Federation,1909,60.55
Russian Federation,1910,59.38
Russian Federation,1911,61.57
Russian Federation,1912,69.74
Russian Federation,1913,75.76
Russian Federation,1914,68.38
Russian Federation,1915,62.76
Russian Federation,1916,66.89
Russian Federation,1917,61.56
Russian Federation,1918,24.55
Russian Federation,1919,20.97
Russian Federation,1920,19.12
Russian Federation,1921,20.74
Russian Federation,1922,25.29
Russian Federation,1923,27.94
Russian Federation,1924,33.29
Russian Federation,1925,32.85
Russian Federation,1926,47.6
Russian Federation,1927,59.18
Russian Federation,1928,65.76
Russian Federation,1929,70.82
Russian Federation,1930,96.28
Russian Federation,1931,115.66
Russian Federation,1932,130.31
Russian Federation,1933,145.62
Russian Federation,1934,176.14
Russian Federation,1935,199.39
Russian Federation,1936,228.64
Russian Federation,1937,233.79
Russian Federation,1938,246.75
Russian Federation,1939,249.78
Russian Federation,1940,299.45
Russian Federation,1941,263.08
Russian Federation,1942,181.04
Russian Federation,1943,231.11
Russian Federation,1944,216.44
Russian Federation,1945,229.16
Russian Federation,1946,257.54
Russian Federation,1947,310.13
Russian Federation,1948,330.02
Russian Federation,1949,375.16
Russian Federation,1950,418.19
Russian Federation,1951,453.23
Russian Federation,1952,485.35
Russian Federation,1953,513.49
Russian Federation,1954,560.83
Russian Federation,1955,635.94
Russian Federation,1956,697.25
Russian Federation,1957,763.02
Russian Federation,1958,814.45
Russian Federation,1959,856.31
Russian Federation,1960,891.57
Russian Federation,1961,919.47
Russian Federation,1962,965.04
Russian Federation,1963,1034.94
Russian Federation,1964,1100.66
Russian Federation,1965,1167.61
Russian Federation,1966,1233.07
Russian Federation,1967,1289.36
Russian Federation,1968,1325.6
Russian Federation,1969,1380.51
Russian Federation,1970,1452.04
Russian Federation,1971,1527.77
Russian Federation,1972,1608.99
Russian Federation,1973,1675.37
Russian Federation,1974,1738.6
Russian Federation,1975,1826.86
Russian Federation,1976,1895.98
Russian Federation,1977,1959.66
Russian Federation,1978,2026.14
Russian Federation,1979,2054.15
Russian Federation,1980,2135.58
Russian Federation,1981,2095.07
Russian Federation,1982,2134.95
Russian Federation,1983,2170.36
Russian Federation,1984,2190.22
Russian Federation,1985,2362.16
Russian Federation,1986,2369.69
Russian Federation,1987,2470.45
Russian Federation,1988,2530.21
Russian Federation,1989,2477.29
Russian Federation,1990,2207.21
Russian Federation,1991,2180.66
Russian Federation,1992,2009.22
Russian Federation,1993,1824.44
Russian Federation,1994,1614.75
Russian Federation,1995,1566.18
Russian Federation,1996,1535.23
Russian Federation,1997,1427.87
Russian Federation,1998,1419.31
Russian Federation,1999,1456.94
Russian Federation,2000,1490.36
Russian Federation,2001,1492.07
Russian Federation,2002,1493.17
Russian Federation,2003,1523.75
Russian Federation,2004,1535.74
Russian Federation,2005,1532.52
Russian Federation,2006,1592.56
Russian Federation,2007,1593.45
Russian Federation,2008,1615.91
Russian Federation,2009,1497.19
Russian Federation,2010,1585.27
Russian Federation,2011,1664.35
Russian Federation,2012,1581.56
Russian Federation,2013,1596.01
