country,year,emissions
Ukraine,1850,0.02
Ukraine,1851,0.0
Ukraine,1852,0.0
Ukraine,1853,0.0
Ukraine,1854,0.0
Ukraine,1855,0.06
Ukraine,1856,0.0
Ukraine,1857,0.0
Ukraine,1858,0.09
Ukraine,1859,0.09
Ukraine,1860,0.12
Ukraine,1861,0.15
Ukraine,1862,0.14
Ukraine,1863,0.15
Ukraine,1864,0.16
Ukraine,1865,0.16
Ukraine,1866,0.49
Ukraine,1867,0.57
Ukraine,1868,0.47
Ukraine,1869,0.64
Ukraine,1870,0.69
Ukraine,1871,0.94
Ukraine,1872,0.96
Ukraine,1873,0.9
Ukraine,1874,1.1
Ukraine,1875,1.26
Ukraine,1876,1.57
Ukraine,1877,1.6
Ukraine,1878,2.09
Ukraine,1879,2.14
Ukraine,1880,2.51
Ukraine,1881,2.65
Ukraine,1882,2.79
Ukraine,1883,3.17
Ukraine,1884,3.22
Ukraine,1885,3.51
Ukraine,1886,3.6
Ukraine,1887,3.81
Ukraine,1888,3.97
Ukraine,1889,4.29
Ukraine,1890,4.86
Ukraine,1891,5.35
Ukraine,1892,5.67
Ukraine,1893,6.64
Ukraine,1894,6.76
Ukraine,1895,7.77
Ukraine,1896,7.91
Ukraine,1897,9.15
Ukraine,1898,10.26
Ukraine,1899,11.9
Ukraine,1900,13.48
Ukraine,1901,13.84
Ukraine,1902,13.37
Ukraine,1903,13.07
Ukraine,1904,14.55
Ukraine,1905,12.98
Ukraine,1906,14.81
Ukraine,1907,16.59
Ukraine,1908,16.69
Ukraine,1909,17.62
Ukraine,1910,17.28
Ukraine,1911,17.91
Ukraine,1912,20.29
Ukraine,1913,22.05
Ukraine,1914,19.9
Ukraine,1915,18.26
Ukraine,1916,19.46
Ukraine,1917,17.91
Ukraine,1918,7.14
Ukraine,1919,6.1
Ukraine,1920,5.56
Ukraine,1921,6.03
Ukraine,1922,7.36
Ukraine,1923,8.13
Ukraine,1924,9.69
Ukraine,1925,9.56
Ukraine,1926,13.85
Ukraine,1927,17.22
Ukraine,1928,19.13
Ukraine,1929,20.6
Ukraine,1930,28.0
Ukraine,1931,33.64
Ukraine,1932,37.9
Ukraine,1933,42.36
Ukraine,1934,51.24
Ukraine,1935,58.0
Ukraine,1936,66.5
Ukraine,1937,68.0
Ukraine,1938,71.77
Ukraine,1939,72.66
Ukraine,1940,87.11
Ukraine,1941,76.53
Ukraine,1942,52.68
Ukraine,1943,67.25
Ukraine,1944,62.98
Ukraine,1945,66.67
Ukraine,1946,74.92
Ukraine,1947,90.22
Ukraine,1948,96.0
Ukraine,1949,109.13
Ukraine,1950,121.64
Ukraine,1951,131.83
Ukraine,1952,141.16
Ukraine,1953,149.34
Ukraine,1954,163.11
Ukraine,1955,184.95
Ukraine,1956,202.77
Ukraine,1957,221.9
Ukraine,1958,236.84
Ukraine,1959,249.0
Ukraine,1960,259.23
Ukraine,1961,267.32
Ukraine,1962,280.56
Ukraine,1963,300.88
Ukraine,1964,319.99
Ukraine,1965,339.44
Ukraine,1966,358.45
Ukraine,1967,374.81
Ukraine,1968,385.34
Ukraine,1969,401.31
Ukraine,1970,422.1
Ukraine,1971,444.12
Ukraine,1972,467.73
Ukraine,1973,487.02
Ukraine,1974,505.4
Ukraine,1975,531.05
Ukraine,1976,551.15
Ukraine,1977,569.67
Ukraine,1978,589.01
Ukraine,1979,597.18
Ukraine,1980,620.87
Ukraine,1981,609.07
Ukraine,1982,620.69
Ukraine,1983,629.69
Ukraine,1984,635.44
Ukraine,1985,685.37
Ukraine,1986,687.73
Ukraine,1987,717.14
Ukraine,1988,733.18
Ukraine,1989,717.84
Ukraine,1990,700.21
Ukraine,1991,662.66
Ukraine,1992,575.78
Ukraine,1993,500.22
Ukraine,1994,416.22
Ukraine,1995,399.5
Ukraine,1996,346.33
Ukraine,1997,328.25
Ukraine,1998,309.17
Ukraine,1999,305.99
Ukraine,2000,297.65
Ukraine,2001,300.85
Ukraine,2002,304.56
Ukraine,2003,336.39
Ukraine,2004,311.97
Ukraine,2005,300.0
Ukraine,2006,308.36
Ukraine,2007,315.38
Ukraine,2008,302.22
Ukraine,2009,254.17
Ukraine,2010,270.98
Ukraine,2011,284.7
Ukraine,2012,278.71
Ukraine,2013,269.66
