country,year,emissions
Latvia,1850,0.0
Latvia,1851,0.0
Latvia,1852,0.0
Latvia,1853,0.0
Latvia,1854,0.0
Latvia,1855,0.0
Latvia,1856,0.0
Latvia,1857,0.0
Latvia,1858,0.0
Latvia,1859,0.0
Latvia,1860,0.0
Latvia,1861,0.0
Latvia,1862,0.0
Latvia,1863,0.0
Latvia,1864,0.0
Latvia,1865,0.0
Latvia,1866,0.01
Latvia,1867,0.01
Latvia,1868,0.01
Latvia,1869,0.02
Latvia,1870,0.02
Latvia,1871,0.02
Latvia,1872,0.02
Latvia,1873,0.02
Latvia,1874,0.03
Latvia,1875,0.03
Latvia,1876,0.04
Latvia,1877,0.04
Latvia,1878,0.05
Latvia,1879,0.05
Latvia,1880,0.06
Latvia,1881,0.07
Latvia,1882,0.07
Latvia,1883,0.08
Latvia,1884,0.08
Latvia,1885,0.09
Latvia,1886,0.09
Latvia,1887,0.1
Latvia,1888,0.1
Latvia,1889,0.11
Latvia,1890,0.12
Latvia,1891,0.14
Latvia,1892,0.14
Latvia,1893,0.17
Latvia,1894,0.17
Latvia,1895,0.2
Latvia,1896,0.2
Latvia,1897,0.23
Latvia,1898,0.26
Latvia,1899,0.3
Latvia,1900,0.34
Latvia,1901,0.35
Latvia,1902,0.34
Latvia,1903,0.33
Latvia,1904,0.37
Latvia,1905,0.33
Latvia,1906,0.38
Latvia,1907,0.42
Latvia,1908,0.43
Latvia,1909,0.45
Latvia,1910,0.44
Latvia,1911,0.46
Latvia,1912,0.52
Latvia,1913,0.56
Latvia,1914,0.51
Latvia,1915,0.47
Latvia,1916,0.5
Latvia,1917,0.46
Latvia,1918,0.18
Latvia,1919,0.16
Latvia,1920,0.14
Latvia,1921,0.15
Latvia,1922,0.19
Latvia,1923,0.21
Latvia,1924,0.25
Latvia,1925,0.24
Latvia,1926,0.35
Latvia,1927,0.44
Latvia,1928,0.49
Latvia,1929,0.53
Latvia,1930,0.71
Latvia,1931,0.86
Latvia,1932,0.97
Latvia,1933,1.08
Latvia,1934,1.31
Latvia,1935,1.48
Latvia,1936,1.7
Latvia,1937,1.73
Latvia,1938,1.83
Latvia,1939,1.85
Latvia,1940,2.22
Latvia,1941,1.95
Latvia,1942,1.34
Latvia,1943,1.72
Latvia,1944,1.61
Latvia,1945,1.7
Latvia,1946,1.91
Latvia,1947,2.3
Latvia,1948,2.45
Latvia,1949,2.78
Latvia,1950,3.1
Latvia,1951,3.36
Latvia,1952,3.6
Latvia,1953,3.81
Latvia,1954,4.16
Latvia,1955,4.72
Latvia,1956,5.17
Latvia,1957,5.66
Latvia,1958,6.04
Latvia,1959,6.35
Latvia,1960,6.61
Latvia,1961,6.82
Latvia,1962,7.16
Latvia,1963,7.67
Latvia,1964,8.16
Latvia,1965,8.66
Latvia,1966,9.14
Latvia,1967,9.56
Latvia,1968,9.83
Latvia,1969,10.24
Latvia,1970,10.77
Latvia,1971,11.33
Latvia,1972,11.93
Latvia,1973,12.42
Latvia,1974,12.89
Latvia,1975,13.54
Latvia,1976,14.06
Latvia,1977,14.53
Latvia,1978,15.02
Latvia,1979,15.23
Latvia,1980,15.84
Latvia,1981,15.53
Latvia,1982,15.83
Latvia,1983,16.06
Latvia,1984,16.21
Latvia,1985,17.48
Latvia,1986,17.54
Latvia,1987,18.29
Latvia,1988,18.7
Latvia,1989,18.31
Latvia,1990,19.06
Latvia,1991,17.47
Latvia,1992,14.03
Latvia,1993,11.89
Latvia,1994,10.26
Latvia,1995,9.0
Latvia,1996,9.06
Latvia,1997,8.54
Latvia,1998,8.21
Latvia,1999,7.41
Latvia,2000,6.84
Latvia,2001,7.25
Latvia,2002,7.36
Latvia,2003,7.61
Latvia,2004,7.62
Latvia,2005,7.72
Latvia,2006,8.17
Latvia,2007,8.51
Latvia,2008,8.09
Latvia,2009,7.36
Latvia,2010,8.41
Latvia,2011,7.71
Latvia,2012,7.44
Latvia,2013,7.41
