country,year,emissions
Sweden,1850,0.2
Sweden,1851,0.22
Sweden,1852,0.22
Sweden,1853,0.23
Sweden,1854,0.34
Sweden,1855,0.32
Sweden,1856,0.48
Sweden,1857,0.61
Sweden,1858,0.51
Sweden,1859,0.75
Sweden,1860,0.75
Sweden,1861,0.97
Sweden,1862,0.99
Sweden,1863,0.99
Sweden,1864,1.04
Sweden,1865,1.08
Sweden,1866,1.11
Sweden,1867,1.03
Sweden,1868,1.22
Sweden,1869,1.09
Sweden,1870,1.34
Sweden,1871,1.44
Sweden,1872,1.71
Sweden,1873,1.74
Sweden,1874,1.88
Sweden,1875,2.28
Sweden,1876,2.43
Sweden,1877,2.57
Sweden,1878,2.18
Sweden,1879,2.21
Sweden,1880,2.83
Sweden,1881,2.75
Sweden,1882,3.15
Sweden,1883,3.22
Sweden,1884,3.55
Sweden,1885,3.83
Sweden,1886,3.75
Sweden,1887,3.8
Sweden,1888,4.25
Sweden,1889,4.96
Sweden,1890,4.94
Sweden,1891,5.28
Sweden,1892,5.25
Sweden,1893,5.28
Sweden,1894,5.89
Sweden,1895,5.95
Sweden,1896,6.16
Sweden,1897,6.86
Sweden,1898,7.3
Sweden,1899,9.13
Sweden,1900,9.17
Sweden,1901,8.52
Sweden,1902,8.93
Sweden,1903,9.8
Sweden,1904,10.33
Sweden,1905,10.17
Sweden,1906,11.29
Sweden,1907,12.78
Sweden,1908,13.64
Sweden,1909,12.56
Sweden,1910,12.99
Sweden,1911,12.65
Sweden,1912,14.02
Sweden,1913,15.76
Sweden,1914,14.85
Sweden,1915,14.95
Sweden,1916,15.76
Sweden,1917,6.76
Sweden,1918,8.0
Sweden,1919,7.68
Sweden,1920,10.4
Sweden,1921,6.01
Sweden,1922,9.94
Sweden,1923,12.1
Sweden,1924,14.44
Sweden,1925,12.9
Sweden,1926,12.53
Sweden,1927,17.63
Sweden,1928,16.25
Sweden,1929,19.37
Sweden,1930,18.93
Sweden,1931,18.94
Sweden,1932,18.74
Sweden,1933,19.52
Sweden,1934,21.73
Sweden,1935,22.87
Sweden,1936,25.05
Sweden,1937,28.95
Sweden,1938,26.14
Sweden,1939,29.3
Sweden,1940,18.48
Sweden,1941,15.05
Sweden,1942,13.03
Sweden,1943,15.84
Sweden,1944,12.45
Sweden,1945,4.55
Sweden,1946,17.38
Sweden,1947,25.1
Sweden,1948,30.81
Sweden,1949,26.84
Sweden,1950,28.67
Sweden,1951,33.45
Sweden,1952,34.53
Sweden,1953,32.56
Sweden,1954,34.5
Sweden,1955,39.1
Sweden,1956,43.39
Sweden,1957,38.85
Sweden,1958,42.08
Sweden,1959,42.4
Sweden,1960,49.18
Sweden,1961,48.82
Sweden,1962,51.29
Sweden,1963,55.32
Sweden,1964,60.38
Sweden,1965,62.58
Sweden,1966,72.54
Sweden,1967,68.95
Sweden,1968,77.62
Sweden,1969,86.4
Sweden,1970,92.3
Sweden,1971,83.99
Sweden,1972,84.07
Sweden,1973,85.63
Sweden,1974,78.13
Sweden,1975,80.56
Sweden,1976,87.25
Sweden,1977,84.17
Sweden,1978,78.72
Sweden,1979,81.26
Sweden,1980,74.31
Sweden,1981,67.32
Sweden,1982,61.61
Sweden,1983,56.07
Sweden,1984,55.21
Sweden,1985,59.43
Sweden,1986,60.86
Sweden,1987,59.13
Sweden,1988,56.7
Sweden,1989,53.98
Sweden,1990,53.29
Sweden,1991,54.27
Sweden,1992,56.78
Sweden,1993,56.48
Sweden,1994,58.43
Sweden,1995,58.18
Sweden,1996,63.62
Sweden,1997,57.38
Sweden,1998,58.33
Sweden,1999,57.26
Sweden,2000,53.29
Sweden,2001,52.47
Sweden,2002,54.05
Sweden,2003,55.21
Sweden,2004,53.58
Sweden,2005,50.44
Sweden,2006,48.08
Sweden,2007,46.44
Sweden,2008,44.4
Sweden,2009,41.5
Sweden,2010,46.93
Sweden,2011,43.45
Sweden,2012,40.41
Sweden,2013,38.91
