country,year,emissions
Netherlands,1850,3.14
Netherlands,1851,3.12
Netherlands,1852,3.76
Netherlands,1853,4.17
Netherlands,1854,5.95
Netherlands,1855,4.65
Netherlands,1856,4.72
Netherlands,1857,4.22
Netherlands,1858,3.71
Netherlands,1859,3.52
Netherlands,1860,4.8
Netherlands,1861,4.4
Netherlands,1862,5.67
Netherlands,1863,4.09
Netherlands,1864,3.4
Netherlands,1865,3.85
Netherlands,1866,4.22
Netherlands,1867,4.04
Netherlands,1868,4.24
Netherlands,1869,4.37
Netherlands,1870,4.94
Netherlands,1871,4.98
Netherlands,1872,5.33
Netherlands,1873,5.14
Netherlands,1874,4.74
Netherlands,1875,5.42
Netherlands,1876,6.21
Netherlands,1877,6.31
Netherlands,1878,6.69
Netherlands,1879,7.21
Netherlands,1880,7.97
Netherlands,1881,8.03
Netherlands,1882,8.13
Netherlands,1883,9.01
Netherlands,1884,9.02
Netherlands,1885,9.42
Netherlands,1886,9.62
Netherlands,1887,9.79
Netherlands,1888,10.86
Netherlands,1889,10.61
Netherlands,1890,10.28
Netherlands,1891,11.9
Netherlands,1892,11.32
Netherlands,1893,11.46
Netherlands,1894,11.62
Netherlands,1895,11.63
Netherlands,1896,12.49
Netherlands,1897,13.1
Netherlands,1898,12.93
Netherlands,1899,13.28
Netherlands,1900,14.63
Netherlands,1901,14.31
Netherlands,1902,14.3
Netherlands,1903,15.3
Netherlands,1904,16.17
Netherlands,1905,16.59
Netherlands,1906,18.06
Netherlands,1907,18.58
Netherlands,1908,18.92
Netherlands,1909,19.92
Netherlands,1910,20.83
Netherlands,1911,22.08
Netherlands,1912,24.92
Netherlands,1913,27.55
Netherlands,1914,25.82
Netherlands,1915,24.53
Netherlands,1916,22.39
Netherlands,1917,8.65
Netherlands,1918,14.52
Netherlands,1919,21.98
Netherlands,1920,22.17
Netherlands,1921,23.23
Netherlands,1922,27.27
Netherlands,1923,27.2
Netherlands,1924,30.59
Netherlands,1925,33.59
Netherlands,1926,34.33
Netherlands,1927,37.97
Netherlands,1928,38.01
Netherlands,1929,41.27
Netherlands,1930,40.78
Netherlands,1931,44.95
Netherlands,1932,41.42
Netherlands,1933,38.57
Netherlands,1934,38.63
Netherlands,1935,37.27
Netherlands,1936,39.89
Netherlands,1937,44.0
Netherlands,1938,43.31
Netherlands,1939,40.7
Netherlands,1940,33.44
Netherlands,1941,37.13
Netherlands,1942,34.6
Netherlands,1943,34.93
Netherlands,1944,23.34
Netherlands,1945,14.65
Netherlands,1946,31.1
Netherlands,1947,44.6
Netherlands,1948,47.27
Netherlands,1949,50.5
Netherlands,1950,51.29
Netherlands,1951,54.97
Netherlands,1952,54.72
Netherlands,1953,55.27
Netherlands,1954,58.4
Netherlands,1955,60.99
Netherlands,1956,65.08
Netherlands,1957,64.41
Netherlands,1958,66.7
Netherlands,1959,67.12
Netherlands,1960,73.44
Netherlands,1961,75.83
Netherlands,1962,83.29
Netherlands,1963,91.15
Netherlands,1964,96.79
Netherlands,1965,100.42
Netherlands,1966,103.57
Netherlands,1967,106.7
Netherlands,1968,113.46
Netherlands,1969,115.73
Netherlands,1970,141.73
Netherlands,1971,129.65
Netherlands,1972,144.44
Netherlands,1973,150.42
Netherlands,1974,142.13
Netherlands,1975,133.76
Netherlands,1976,142.4
Netherlands,1977,140.41
Netherlands,1978,144.91
Netherlands,1979,154.94
Netherlands,1980,147.23
Netherlands,1981,144.87
Netherlands,1982,136.42
Netherlands,1983,132.02
Netherlands,1984,136.84
Netherlands,1985,139.85
Netherlands,1986,142.96
Netherlands,1987,146.78
Netherlands,1988,144.99
Netherlands,1989,148.13
Netherlands,1990,146.87
Netherlands,1991,154.07
Netherlands,1992,152.83
Netherlands,1993,157.96
Netherlands,1994,158.12
Netherlands,1995,165.44
Netherlands,1996,175.06
Netherlands,1997,167.6
Netherlands,1998,167.95
Netherlands,1999,162.73
Netherlands,2000,163.43
Netherlands,2001,168.46
Netherlands,2002,168.41
Netherlands,2003,171.1
Netherlands,2004,172.74
Netherlands,2005,168.31
Netherlands,2006,164.15
Netherlands,2007,164.95
Netherlands,2008,166.0
Netherlands,2009,160.74
Netherlands,2010,171.08
Netherlands,2011,159.3
Netherlands,2012,157.12
Netherlands,2013,157.02
