country,year,emissions
Libya,1850,0.0
Libya,1851,0.0
Libya,1852,0.0
Libya,1853,0.0
Libya,1854,0.0
Libya,1855,0.0
Libya,1856,0.0
Libya,1857,0.0
Libya,1858,0.0
Libya,1859,0.0
Libya,1860,0.0
Libya,1861,0.0
Libya,1862,0.0
Libya,1863,0.0
Libya,1864,0.0
Libya,1865,0.0
Libya,1866,0.0
Libya,1867,0.0
Libya,1868,0.0
Libya,1869,0.0
Libya,1870,0.0
Libya,1871,0.0
Libya,1872,0.0
Libya,1873,0.0
Libya,1874,0.0
Libya,1875,0.0
Libya,1876,0.0
Libya,1877,0.0
Libya,1878,0.0
Libya,1879,0.0
Libya,1880,0.0
Libya,1881,0.0
Libya,1882,0.0
Libya,1883,0.0
Libya,1884,0.0
Libya,1885,0.0
Libya,1886,0.0
Libya,1887,0.0
Libya,1888,0.0
Libya,1889,0.0
Libya,1890,0.0
Libya,1891,0.0
Libya,1892,0.0
Libya,1893,0.0
Libya,1894,0.0
Libya,1895,0.0
Libya,1896,0.0
Libya,1897,0.0
Libya,1898,0.0
Libya,1899,0.0
Libya,1900,0.0
Libya,1901,0.0
Libya,1902,0.0
Libya,1903,0.0
Libya,1904,0.0
Libya,1905,0.0
Libya,1906,0.0
Libya,1907,0.0
Libya,1908,0.0
Libya,1909,0.0
Libya,1910,0.0
Libya,1911,0.0
Libya,1912,0.0
Libya,1913,0.0
Libya,1914,0.0
Libya,1915,0.0
Libya,1916,0.0
Libya,1917,0.0
Libya,1918,0.0
Libya,1919,0.0
Libya,1920,0.0
Libya,1921,0.0
Libya,1922,0.0
Libya,1923,0.0
Libya,1924,0.0
Libya,1925,0.0
Libya,1926,0.0
Libya,1927,0.0
Libya,1928,0.0
Libya,1929,0.0
Libya,1930,0.0
Libya,1931,0.0
Libya,1932,0.0
Libya,1933,0.0
Libya,1934,0.0
Libya,1935,0.0
Libya,1936,0.0
Libya,1937,0.0
Libya,1938,0.0
Libya,1939,0.0
Libya,1940,0.0
Libya,1941,0.0
Libya,1942,0.0
Libya,1943,0.0
Libya,1944,0.0
Libya,1945,0.0
Libya,1946,0.0
Libya,1947,0.0
Libya,1948,0.0
Libya,1949,0.0
Libya,1950,0.14
Libya,1951,0.17
Libya,1952,0.16
Libya,1953,0.25
Libya,1954,0.3
Libya,1955,0.43
Libya,1956,0.33
Libya,1957,0.31
Libya,1958,0.35
Libya,1959,0.43
Libya,1960,0.69
Libya,1961,1.2
Libya,1962,1.04
Libya,1963,1.47
Libya,1964,0.66
Libya,1965,1.01
Libya,1966,2.63
Libya,1967,2.45
Libya,1968,2.98
Libya,1969,6.48
Libya,1970,2.89
Libya,1971,3.76
Libya,1972,5.43
Libya,1973,5.82
Libya,1974,7.02
Libya,1975,8.98
Libya,1976,9.97
Libya,1977,11.92
Libya,1978,13.51
Libya,1979,14.43
Libya,1980,27.49
Libya,1981,23.97
Libya,1982,26.94
Libya,1983,26.35
Libya,1984,26.74
Libya,1985,25.92
Libya,1986,24.48
Libya,1987,25.51
Libya,1988,31.1
Libya,1989,34.2
Libya,1990,36.31
Libya,1991,33.51
Libya,1992,30.5
Libya,1993,31.03
Libya,1994,36.24
Libya,1995,37.77
Libya,1996,39.72
Libya,1997,39.18
Libya,1998,40.18
Libya,1999,38.36
Libya,2000,40.17
Libya,2001,41.74
Libya,2002,43.92
Libya,2003,44.62
Libya,2004,45.85
Libya,2005,49.38
Libya,2006,49.73
Libya,2007,46.68
Libya,2008,51.92
Libya,2009,54.38
Libya,2010,57.88
Libya,2011,38.41
Libya,2012,52.39
Libya,2013,55.09
